reviewer_id,reviewer_average_stars,reviewer_fans,reviewer_name,reviewer_review_count,reviewer_yelper_since,reviewer_funny_votes,reviewer_useful_votes,reviewer_cool_votes,reviewer_total_votes,reviewer_num_friends,reviewer_years_elite,reviewer_currently_elite,reviewer_num_compliments
qUuKf7ei533aolmIpwezuw,4.0,1.0,Elyse,38.0,2010-03,0,0,0,0,0,0,0,2
0SLZGUFW7Jf1mZhfJ4DtjA,4.7,0.0,Tom,11.0,2010-06,0,0,0,0,0,0,0,3
_yrXRYzrBPyvYL-DAwxUzg,3.81,4.0,Bela,90.0,2010-07,0,0,0,0,15,2,0,17
ZcEstCa4fDhNXrkZ8_Gh0Q,3.86,31.0,Corey Tess,534.0,2010-01,0,0,0,0,207,5,1,407
XTi7LJPw5_izQaMQF4cU1Q,3.38,99.0,Jess,1773.0,2008-03,0,0,0,0,223,8,1,1415
70FWabKnHg2CWkOn_5O6Xg,3.81,0.0,Ken,16.0,2010-03,0,0,0,0,0,0,0,1
ZpHtorUVdO4u5V3TkVF_dA,4.18,2.0,Jon,17.0,2010-07,0,0,0,0,5,0,0,2
iBmy7fYcirpA8d94EhX5RA,3.52,15.0,Casandra,304.0,2009-03,0,0,0,0,36,5,0,128
iw71Q7AwGWfBvULvWcKuwA,3.85,0.0,Angel,63.0,2010-07,0,0,0,0,1,0,0,14
2awm-uvh32aSApHAYlBZnw,3.49,0.0,Kevin,81.0,2010-08,0,0,0,0,8,2,1,26
ob0BwUJZ29N5XIPBa6fAQw,3.96,8.0,Dave,308.0,2010-03,0,0,0,0,12,4,1,164
EwM8aXzr6_NU7aDmEmJRLw,3.31,7.0,John,140.0,2006-12,0,0,0,0,13,0,0,40
ezMIBbU-FATJrkyTEF6SYA,4.38,2.0,Jason,38.0,2010-03,0,0,0,0,87,0,0,14
fzu9zwLQJBW8RqoqADOXiw,3.69,10.0,Seth,189.0,2010-07,0,0,0,0,57,3,0,146
xj1c4eVolIdusAEDvNXbUA,4.14,1.0,Scott,14.0,2010-11,0,0,0,0,11,0,0,6
ctXZwLnGALfazigC5e-zxg,3.88,1.0,Lacey,41.0,2010-09,0,0,0,0,10,0,0,25
fczQCSmaWF78toLEmb0Zsw,4.04,485.0,Gabi,1505.0,2007-08,0,0,0,0,2720,9,1,8482
Bq91GnbeBriYxKcdzARIEA,3.8,0.0,Brad,5.0,2009-05,0,0,0,0,0,0,0,0
aIT9dfJ681z0wxXEtQJmiQ,3.42,25.0,Taylor,517.0,2008-09,0,0,0,0,25,7,1,224
qJo0sRCWueKfb0_zrVgf7Q,4.24,2.0,Virginia,16.0,2010-12,0,0,0,0,31,0,0,1
M9H6p4hm2utu1G0ipV80Ug,3.91,4.0,Heidi,84.0,2010-05,0,0,0,0,55,0,0,53
lQH-a4F0MNgjaOBb8c9j_g,3.78,13.0,Callan,397.0,2008-09,0,0,0,0,33,5,0,115
XQSsR2cbLaRMDCirH_FWjA,3.38,3.0,Ayon J.,254.0,2007-07,0,0,0,0,11,0,0,13
iTspEpMdqXGm0cNJsIBZwQ,3.96,1.0,Linda,38.0,2011-01,0,0,0,0,6,0,0,5
s9I4KMcrHKki44g_eTrYqQ,3.62,23.0,Julia,810.0,2009-09,0,0,0,0,129,5,1,291
EiZu_8Nxy8RFaJMwVfH5RA,3.63,0.0,RJ,19.0,2011-03,0,0,0,0,7,0,0,9
PxN8HWd32lEu-5d6o3hI-w,3.74,3.0,Greg,64.0,2011-05,0,0,0,0,8,2,0,34
7ewE_dDxjXNppOj0EhhMIQ,3.62,36.0,Julia,281.0,2009-03,0,0,0,0,88,2,0,886
R5PcytEKsliJ7j_1Fiu9bg,4.3,1.0,Kim,46.0,2010-09,0,0,0,0,1,0,0,7
NzWLMPvbEval0OVg_YDn4g,3.64,28.0,Shauna,552.0,2010-03,0,0,0,0,116,6,1,399
IVy6QMwiCMycCy-JZl03WA,3.7,0.0,Michael,23.0,2010-04,0,0,0,0,5,0,0,4
rJ1opLYw6VoJOgltFEP_5w,4.67,0.0,Matt,6.0,2010-09,0,0,0,0,8,0,0,1
I6T5eM77UiIXqYRJDBqWew,4.5,0.0,James,2.0,2011-08,0,0,0,0,0,0,0,0
dQ3fXZETKfst-aJ2zBdtOw,3.69,15.0,Trey,166.0,2011-06,0,0,0,0,117,4,1,137
u6LzzpykHyoBc2HCrKskuw,3.54,2.0,Dee,35.0,2011-01,0,0,0,0,8,0,0,10
_xpDeREN9Jr9FC3B_MxJhg,4.26,0.0,Renee,22.0,2011-08,0,0,0,0,1,0,0,6
Nz6dw0rEQdqIHDi-8ss5Dw,4.0,0.0,VailBoy,6.0,2011-07,0,0,0,0,0,0,0,0
-3akdU5UTDn6dwiTCO2cAw,4.0,5.0,April,99.0,2010-06,0,0,0,0,104,3,0,75
53BUsBIrUmbJkhC8WxJZfQ,4.08,0.0,R,103.0,2011-09,0,0,0,0,7,0,0,5
g-HyfQL_tknFi-1dc-XDRQ,3.73,9.0,Paul,228.0,2010-07,0,0,0,0,55,4,0,85
9mYDx_FUDB5YBELMepBM7Q,4.04,11.0,Roger,510.0,2010-07,0,0,0,0,35,4,1,68
v2G6VK2qvxKak9I7bVNJOA,3.76,0.0,Zach,89.0,2011-04,0,0,0,0,5,3,0,23
54BCOWX-e3nLVvgbmKnmZw,4.67,0.0,David,3.0,2011-12,0,0,0,0,2,0,0,1
njfknxaBfd2K3uw_i0a6Uw,3.98,4.0,Karuna,96.0,2008-11,0,0,0,0,30,3,1,38
ppaxBKZWHiH7-sAeC9pUFw,4.0,0.0,Mark,7.0,2011-12,0,0,0,0,0,0,0,0
RvoYKSnTHoBOnGJ6wrzq-A,4.0,0.0,Mary Kathryn,3.0,2011-01,0,0,0,0,16,0,0,0
SgfuZWzXWFWooO3tZ8NogQ,4.1,1.0,Mike,48.0,2011-04,0,0,0,0,9,2,0,14
8YkLAYQhhtMGEyowrABG1Q,4.67,0.0,Chris,6.0,2012-03,0,0,0,0,3,0,0,1
_52lY1bLRdDmy5rxntQ2uw,3.55,2.0,Allison,104.0,2010-11,0,0,0,0,2,0,0,7
6YGJZN-unDth3y_Kf7dwOg,3.86,8.0,Martin,163.0,2010-12,0,0,0,0,86,4,1,41
neAN8bWOJyj5x1-SMCIOYQ,3.89,56.0,Misha,2268.0,2007-10,0,0,0,0,95,8,1,307
ZxxwKff0cZpfVUoflkZOvA,5.0,0.0,Laura,1.0,2012-09,0,0,0,0,0,0,0,0
MQct-qtQ9_AWt5X7TjtsEA,3.76,8.0,Tae-Sun,116.0,2010-07,0,0,0,0,15,2,0,49
qoWr0m6v-igdHGofAOLtWQ,3.67,1.0,Kaleb,3.0,2012-04,0,0,0,0,1,0,0,0
dgs2GKGHhV-6e2jQFR_zjg,3.74,1.0,Chris,38.0,2012-02,0,0,0,0,23,1,0,11
3GteArKIVRlJZjjRqqwgaQ,3.62,11.0,Giannabrie,281.0,2011-04,0,0,0,0,93,4,1,108
CvMVd31cnTfzMUsHDXm4zQ,4.12,224.0,Benjamin,1016.0,2009-12,0,0,0,0,1422,4,1,3121
uYOo1cPQYQgr8pI0fiEV0g,3.9,1.0,Bee,85.0,2012-05,0,0,0,0,6,1,0,21
xvqNhxxwveYFcQ3RIqbKNA,3.0,0.0,Andrew,2.0,2012-12,0,0,0,0,0,0,0,0
_X0Xt2z5Q7GESxxRzvy4_g,3.87,26.0,Angie,592.0,2010-08,0,0,0,0,156,5,1,406
S5jukNBflVAloV1RmHuBTw,4.75,0.0,Kory,4.0,2012-02,0,0,0,0,0,0,0,1
VvTUjtIpJSmKTkYEtcr2Vg,3.91,1.0,Bryan,56.0,2013-02,0,0,0,0,3,2,0,7
4G68oLRY3aHE5XUt_MUUcA,3.74,25.0,John,919.0,2010-04,0,0,0,0,88,6,1,298
7ziRsfDby9pats-saz5FKQ,4.22,0.0,Jonathan,9.0,2011-11,0,0,0,0,0,0,0,0
buDzttbBlQDuw1az1-IOEA,3.67,1.0,Chris,9.0,2012-01,0,0,0,0,12,0,0,7
dJlo6PovBYJk6zCkd7Y10Q,3.54,0.0,W.,127.0,2012-11,0,0,0,0,0,0,0,0
fzaKuySKBrKzaync9o0WSw,3.5,3.0,Rick,78.0,2009-10,0,0,0,0,9,2,1,38
epELYRU4ZftAKpL88m3atw,3.69,2.0,Fay,65.0,2011-05,0,0,0,0,5,3,0,33
_PfzyJIqUsn-X6q77ywjEQ,3.9,13.0,Dan,751.0,2009-04,0,0,0,0,51,5,1,141
8et-dI2aBF2Y4wFKZ5p_Zw,4.0,0.0,Scott,21.0,2008-07,0,0,0,0,0,0,0,0
CmfsD79eJ1qHUTU8eKOb7Q,3.86,0.0,Andrew,7.0,2013-06,0,0,0,0,1,0,0,0
E1Wu-YuaNJWgQqSIsW8K5Q,4.57,0.0,Eric,14.0,2011-07,0,0,0,0,0,0,0,0
RxhJMMXcA2aM8VfkGkO59g,4.5,0.0,Shane,9.0,2013-07,0,0,0,0,0,0,0,0
0ggIYf9lpMjQHboglynulg,3.44,0.0,Kevin,8.0,2010-03,0,0,0,0,2,0,0,0
gVGu5DHk5iI4CQ2tX7ka6A,4.44,0.0,Donnie,31.0,2012-10,0,0,0,0,1,0,0,1
lLhUVEvSHeow4oHtH0QYZw,4.33,0.0,Carla,4.0,2013-09,0,0,0,0,0,0,0,0
NpAYC6gJXdiBVXZnFtS8LQ,4.0,2.0,Jac,60.0,2012-05,0,0,0,0,28,2,0,24
ixo0CSyf5Ck2JK60_yDDjA,4.43,0.0,Lawson,14.0,2013-06,0,0,0,0,0,0,0,2
yUXXJoX6BQsFh0AL6TN-5w,3.2,0.0,Sarah,5.0,2011-04,0,0,0,0,0,0,0,0
-c5ts5jo2RCVYxEVX4RArw,4.2,0.0,Brandon,11.0,2012-07,0,0,0,0,0,0,0,0
SYVyhWVPJLOXzO0AbK7lUw,4.11,1.0,John,18.0,2011-10,0,0,0,0,5,0,0,3
X2Chx2hbrRlDVBrZDzsoJA,4.29,0.0,Kate,8.0,2012-02,0,0,0,0,2,0,0,2
lVk2LcYATHFD0qeo4Iy77A,3.5,0.0,Ian,9.0,2009-04,0,0,0,0,1,0,0,1
xkHdL__mbBP4-TImDjC7nw,4.89,0.0,George,9.0,2012-08,0,0,0,0,0,0,0,1
gTx_YA-PQZYKRZFPU9onVg,4.2,0.0,Matt,20.0,2012-07,0,0,0,0,0,0,0,1
9v8eyI2grcNXsGZCpSQH6g,3.82,0.0,Nate,10.0,2012-06,0,0,0,0,0,0,0,1
Bryr2iaTJOMLSgkU09d_9A,4.28,0.0,Charles,21.0,2012-07,0,0,0,0,0,0,0,0
b9cjp1_txLE2esuxBIvj9A,5.0,0.0,Kat,1.0,2013-09,0,0,0,0,0,0,0,0
9ZBm8r4TOlPxHc8O-4zPbw,4.52,0.0,Nancy,21.0,2013-03,0,0,0,0,3,0,0,10
J7fT-HDxhK6eCcAjLn7BOA,4.8,0.0,Jeffrey,5.0,2013-12,0,0,0,0,0,0,0,0
VO3_9Vwklm6xaZPV7-6Esw,4.56,3.0,Tom,16.0,2013-09,0,0,0,0,3,0,0,0
ABPWyNpdIeQ-oNbvAOzS-w,4.08,0.0,Dan,12.0,2011-01,0,0,0,0,3,0,0,4
Pb6lG-USjdZGssNnIcieFA,3.62,3.0,Meredith,140.0,2011-05,0,0,0,0,22,5,1,84
M-TwsqjrGVH9-qyw2KcvdQ,3.68,11.0,Peggy,286.0,2010-12,0,0,0,0,67,5,1,146
iDs0mr1LAb7m3K2L-KcAAA,4.26,51.0,Kristin,455.0,2008-04,0,0,0,0,186,5,0,666
vom6vj0U9O585MsbuQVLNQ,2.94,0.0,Leanne,16.0,2013-05,0,0,0,0,5,0,0,0
rHOLRHLYrgA9aKeCmWqtMw,3.59,0.0,Joseph,123.0,2012-09,0,0,0,0,0,0,0,0
O59sj7Fxid1SJDFRtp_wzQ,4.17,0.0,Tiffany,25.0,2010-04,0,0,0,0,6,0,0,1
SkhGKyHgwf-IMqpre5SfGA,3.0,0.0,Zach,5.0,2013-07,0,0,0,0,0,0,0,0
X36p3mD4oqBE53sASc_Ykw,3.95,4.0,Paul,216.0,2010-10,0,0,0,0,82,4,1,121
YlFBJ36KW41zERAxB-TBgQ,3.93,2.0,Tracy,92.0,2008-02,0,0,0,0,7,3,0,32
kyB4w0xMRYFF21U4T-0hcg,3.88,0.0,Justin,8.0,2012-10,0,0,0,0,0,0,0,1
9tELOBy_iGPNpNjXzkekHw,3.37,37.0,Andreas,1014.0,2009-01,0,0,0,0,224,7,1,359
9Z1azmhdy5OWZqpfBBdkxA,3.0,0.0,Dan,2.0,2012-07,0,0,0,0,1,0,0,0
xzaFN6TT7U6WW2Uj8roX-g,4.92,0.0,David,12.0,2010-08,0,0,0,0,0,0,0,3
6O6cQf3mW5jKTIYhbVnI6Q,5.0,0.0,Ashley,1.0,2014-06,0,0,0,0,0,0,0,0
kz-iFsos8iXu4w3Nq9oCRA,3.34,0.0,Scott,29.0,2011-03,0,0,0,0,15,0,0,8
6xxm4MmnmeoKn840ZF_vpA,5.0,0.0,Erin,1.0,2014-07,0,0,0,0,1,0,0,0
-ohF83Lc9I7orMjea-U_mw,5.0,0.0,Jay,2.0,2011-07,0,0,0,0,6,0,0,0
89RxJtp2wPpud6S-cZHE0g,4.13,1.0,Kristian,23.0,2012-05,0,0,0,0,1,0,0,1
VHTR2u27gTQXt_ZqAL2aEA,4.03,7.0,Megan,365.0,2012-01,0,0,0,0,76,3,1,58
mZ9DVpyBZKwxUzGFFtVXEA,3.71,1.0,Heather,28.0,2014-03,0,0,0,0,0,0,0,0
Z9KQsLVxxuj1D0N_3dtI7w,3.67,22.0,Meghan,496.0,2010-11,0,0,0,0,45,5,1,175
k0BGzDhu7ehlreuNYrHr2Q,5.0,0.0,Doreen,1.0,2014-08,0,0,0,0,0,0,0,0
GuqMMXaXtkK7Ynz0aa2BTQ,1.0,1.0,Elyssa,2.0,2011-12,0,0,0,0,0,0,0,0
BgsoRxSldKtQaTxmkRyo9w,4.2,5.0,Jimmy,91.0,2013-01,0,0,0,0,18,2,1,22
n9OkjFjUBIQ5zze7nLuQog,4.15,0.0,Nicole,27.0,2011-09,0,0,0,0,0,0,0,1
yWqW5-jMooAo-egETr32cQ,3.59,0.0,Thomas,34.0,2014-09,0,0,0,0,0,0,0,1
jKcr9ufJ2NZo7A5ZHxuR0Q,4.0,0.0,Courtney,4.0,2010-08,0,0,0,0,0,0,0,0
8uOmnlKFYIPkNCn1v8-DVg,3.95,15.0,Robin,217.0,2011-10,0,0,0,0,46,3,1,78
m8HoU0KYhkFE8cKxaj-F9A,4.4,0.0,Mary,15.0,2014-06,0,0,0,0,2,0,0,0
J2XsuKDFBs4RET7aa2bU4A,5.0,0.0,Tyrone,3.0,2012-04,0,0,0,0,2,0,0,0
X5SspyhovMUqSnbIsiUK8g,3.48,0.0,Ziana,64.0,2010-10,0,0,0,0,2,0,0,12
AYTJ7G6TDVWibw1M34QsmQ,3.56,1.0,Jeff,62.0,2012-03,0,0,0,0,10,0,0,10
CLmgCLKP95JKhf4kV5vP2A,3.67,4.0,Betty,84.0,2007-10,0,0,0,0,16,2,0,60
jp5lBxgdCpDRhSeEuRK_kA,3.74,20.0,Demetria,518.0,2009-06,0,0,0,0,108,6,1,454
V2sl38z9uGmiAggiQLcFlg,3.92,9.0,Keith,296.0,2007-04,0,0,0,0,16,5,1,62
E3uTI36A9ygD1rVgdqHbpg,4.17,0.0,Michael,6.0,2012-04,0,0,0,0,0,0,0,1
SjDv_hX-3MuMnZyfcxetMQ,4.31,0.0,Heather,39.0,2011-11,0,0,0,0,1,0,0,0
SvekMGzEIy6c5MfiLLar6w,4.02,8.0,Ramón,284.0,2009-02,0,0,0,0,10,0,0,5
UpdAuxn_6oxYpSsMowmgbA,3.8,3.0,Jeanette,217.0,2010-08,0,0,0,0,21,3,1,34
U0HTp--HcAgNdrUc9BpRNg,4.38,0.0,Neil,8.0,2009-07,0,0,0,0,7,0,0,3
6wrnG5setc3GYFiKrxl3Hw,4.24,6.0,Patrick,363.0,2007-11,0,0,0,0,14,1,0,52
aJTH6opTpdcR0fAO1kj7tQ,4.09,2.0,Elena,102.0,2008-09,0,0,0,0,14,0,0,26
ZtFf2ervN53wKa-NoccTpA,3.56,28.0,Dee,631.0,2009-05,0,0,0,0,229,7,1,387
QVhZlfeHHsiBfD86mN94ZA,3.84,2.0,chris,55.0,2009-08,0,0,0,0,15,3,0,30
aD7KlYIJ_yw44v0rQuCwxg,4.2,0.0,Pete,5.0,2009-11,0,0,0,0,0,0,0,0
